country,year,democracy,monarchy
Chad,2002,autocracy,N/A
Chad,2003,autocracy,N/A
Chad,2004,autocracy,N/A
Chad,2005,autocracy,N/A
Chad,2006,autocracy,N/A
Chad,2007,autocracy,N/A
Chad,2008,autocracy,N/A
Chad,2009,autocracy,N/A
Chad,2010,autocracy,N/A
Chad,2011,autocracy,N/A
Chad,2012,autocracy,N/A
Uganda,2000,autocracy,N/A
Uganda,2001,autocracy,N/A
Uganda,2002,autocracy,N/A
Uganda,2003,autocracy,N/A
Uganda,2004,autocracy,N/A
Uganda,2005,autocracy,N/A
Uganda,2006,autocracy,N/A
Uganda,2007,autocracy,N/A
Uganda,2008,autocracy,N/A
Uganda,2009,autocracy,N/A
Uganda,2010,autocracy,N/A
Uganda,2011,autocracy,N/A
Uganda,2012,autocracy,N/A
Kenya,2000,autocracy,N/A
Kenya,2001,autocracy,N/A
Kenya,2002,democracy,republic
Kenya,2003,democracy,republic
Kenya,2004,democracy,republic
Kenya,2005,democracy,republic
Kenya,2006,democracy,republic
Kenya,2007,democracy,republic
Kenya,2008,democracy,republic
Kenya,2009,democracy,republic
Kenya,2010,democracy,republic
Kenya,2011,democracy,republic
Kenya,2012,democracy,republic
Burundi,2000,autocracy,N/A
Burundi,2001,autocracy,N/A
Burundi,2002,autocracy,N/A
Burundi,2003,autocracy,N/A
Burundi,2004,autocracy,N/A
Burundi,2005,democracy,republic
Burundi,2006,democracy,republic
Burundi,2007,democracy,republic
Burundi,2008,democracy,republic
Burundi,2009,democracy,republic
Burundi,2010,democracy,republic
Burundi,2011,democracy,republic
Burundi,2012,democracy,republic
Rwanda,2000,autocracy,N/A
Rwanda,2001,autocracy,N/A
Rwanda,2002,autocracy,N/A
Rwanda,2003,autocracy,N/A
Rwanda,2004,autocracy,N/A
Rwanda,2005,autocracy,N/A
Rwanda,2006,autocracy,N/A
Rwanda,2007,autocracy,N/A
Rwanda,2008,autocracy,N/A
Rwanda,2009,autocracy,N/A
Rwanda,2010,autocracy,N/A
Rwanda,2011,autocracy,N/A
Rwanda,2012,autocracy,N/A
Somalia,2000,autocracy,N/A
Somalia,2001,autocracy,N/A
Somalia,2002,autocracy,N/A
Somalia,2003,autocracy,N/A
Somalia,2004,autocracy,N/A
Somalia,2005,autocracy,N/A
Somalia,2006,autocracy,N/A
Somalia,2007,autocracy,N/A
Somalia,2008,autocracy,N/A
Somalia,2009,autocracy,N/A
Somalia,2010,autocracy,N/A
Somalia,2011,autocracy,N/A
Somalia,2012,autocracy,N/A
Djibouti,2000,autocracy,N/A
Djibouti,2001,autocracy,N/A
Djibouti,2002,autocracy,N/A
Djibouti,2003,autocracy,N/A
Djibouti,2004,autocracy,N/A
Djibouti,2005,autocracy,N/A
Djibouti,2006,autocracy,N/A
Djibouti,2007,autocracy,N/A
Djibouti,2008,autocracy,N/A
Djibouti,2009,autocracy,N/A
Djibouti,2010,autocracy,N/A
Djibouti,2011,autocracy,N/A
Djibouti,2012,autocracy,N/A
Ethiopia,2000,autocracy,N/A
Ethiopia,2001,autocracy,N/A
Ethiopia,2002,autocracy,N/A
Ethiopia,2003,autocracy,N/A
Ethiopia,2004,autocracy,N/A
Ethiopia,2005,autocracy,N/A
Ethiopia,2006,autocracy,N/A
Ethiopia,2007,autocracy,N/A
Ethiopia,2008,autocracy,N/A
Ethiopia,2009,autocracy,N/A
Ethiopia,2010,autocracy,N/A
Ethiopia,2011,autocracy,N/A
Ethiopia,2012,autocracy,N/A
Eritrea,2000,autocracy,N/A
Eritrea,2001,autocracy,N/A
Eritrea,2002,autocracy,N/A
Eritrea,2003,autocracy,N/A
Eritrea,2004,autocracy,N/A
Eritrea,2005,autocracy,N/A
Eritrea,2006,autocracy,N/A
Eritrea,2007,autocracy,N/A
Eritrea,2008,autocracy,N/A
Eritrea,2009,autocracy,N/A
Eritrea,2010,autocracy,N/A
Eritrea,2011,autocracy,N/A
Eritrea,2012,autocracy,N/A
Angola,2000,autocracy,N/A
Angola,2001,autocracy,N/A
Angola,2002,autocracy,N/A
Angola,2003,autocracy,N/A
Angola,2004,autocracy,N/A
Angola,2005,autocracy,N/A
Angola,2006,autocracy,N/A
Angola,2007,autocracy,N/A
Angola,2008,autocracy,N/A
Angola,2009,autocracy,N/A
Angola,2010,autocracy,N/A
Angola,2011,autocracy,N/A
Angola,2012,autocracy,N/A
Mozambique,2000,democracy,republic
Mozambique,2001,democracy,republic
Mozambique,2002,democracy,republic
Mozambique,2003,democracy,republic
Mozambique,2004,autocracy,N/A
Mozambique,2005,autocracy,N/A
Mozambique,2006,autocracy,N/A
Mozambique,2007,autocracy,N/A
Mozambique,2008,autocracy,N/A
Mozambique,2009,autocracy,N/A
Mozambique,2010,autocracy,N/A
Mozambique,2011,autocracy,N/A
Mozambique,2012,autocracy,N/A
Zambia,2000,autocracy,N/A
Zambia,2001,autocracy,N/A
Zambia,2002,autocracy,N/A
Zambia,2003,autocracy,N/A
Zambia,2004,autocracy,N/A
Zambia,2005,autocracy,N/A
Zambia,2006,autocracy,N/A
Zambia,2007,autocracy,N/A
Zambia,2008,democracy,republic
Zambia,2009,democracy,republic
Zambia,2010,democracy,republic
Zambia,2011,democracy,republic
Zambia,2012,democracy,republic
Zimbabwe,2000,autocracy,N/A
Zimbabwe,2001,autocracy,N/A
Zimbabwe,2002,autocracy,N/A
Zimbabwe,2003,autocracy,N/A
Zimbabwe,2004,autocracy,N/A
Zimbabwe,2005,autocracy,N/A
Zimbabwe,2006,autocracy,N/A
Zimbabwe,2007,autocracy,N/A
Zimbabwe,2008,autocracy,N/A
Zimbabwe,2009,autocracy,N/A
Zimbabwe,2010,autocracy,N/A
Zimbabwe,2011,autocracy,N/A
Zimbabwe,2012,autocracy,N/A
Malawi,2000,democracy,republic
Malawi,2001,democracy,republic
Malawi,2002,democracy,republic
Malawi,2003,democracy,republic
Malawi,2004,democracy,republic
Malawi,2005,democracy,republic
Malawi,2006,democracy,republic
Malawi,2007,democracy,republic
Malawi,2008,democracy,republic
Malawi,2009,democracy,republic
